,station_name,lat,lon
4467, '徐家棚', '30.597643', '114.342381'
4468, '徐东', '30.594594', '114.352143'
4469, '汪家墩', '30.59067', '114.35749'
4470, '岳家嘴', '30.583453', '114.368279'
4471, '梨园', '30.58079', '114.378113'
4472, '开福区政府', '28.267593', '112.991966'
4473, '马厂', '28.256779', '112.995326'
4474, '北辰三角洲', '28.241574', '112.990357'
4475, '开福寺', '28.228121', '112.985892'
4476, '文昌阁', '28.219082', '112.984896'
4477, '培元桥', '28.21192', '112.983134'
4478, '五一广场', '28.20098', '112.982965'
4479, '黄兴广场', '28.194936', '112.982974'
4480, '南门口', '28.189214', '112.982623'
4481, '侯家塘', '28.17947', '112.988453'
4482, '南湖路', '28.171698', '112.992335'
4483, '黄土岭', '28.165866', '112.992208'
4484, '涂家冲', '28.159146', '112.991219'
4485, '铁道学院', '28.14178', '112.993968'
4486, '友谊路', '28.130001', '112.993456'
4487, '省政府', '28.116788', '112.994094'
4488, '桂花坪', '28.104856', '112.994948'
4489, '大托', '28.08838', '112.995823'
4490, '中信广场', '28.079514', '112.99625'
4491, '尚双塘', '28.068358', '112.998775'
4492, '磁浮机场站', '28.197387', '113.225094'
4493, '磁浮榔梨', '28.166949', '113.139808'
4494, '磁浮高铁站', '28.154345', '113.073881'
4495, '磁浮高铁站', '28.154345', '113.073881'
4496, '磁浮榔梨', '28.166949', '113.139808'
4497, '磁浮机场站', '28.197387', '113.225094'
4498, '梅溪湖西', '28.191411', '112.888192'
4499, '麓云路', '28.196796', '112.898805'
4500, '文化艺术中心', '28.202815', '112.906975'
4501, '梅溪湖东', '28.207645', '112.91459'
4502, '望城坡', '28.213735', '112.920419'
4503, '金星路', '28.212296', '112.935037'
4504, '西湖公园', '28.208728', '112.946581'
4505, '溁湾镇', '28.203578', '112.957829'
4506, '橘子洲', '28.20109', '112.968932'
4507, '湘江中路', '28.200844', '112.975848'
4508, '五一广场', '28.20098', '112.982965'
4509, '芙蓉广场', '28.200609', '112.990715'
4510, '迎宾路口', '28.200532', '112.998498'
4511, '袁家岭', '28.200278', '113.007348'
4512, '长沙火车站', '28.199702', '113.017355'
4513, '锦泰广场', '28.198147', '113.024395'
4514, '万家丽广场', '28.197832', '113.03682'
4515, '人民东路', '28.190618', '113.045145'
4516, '长沙大道', '28.174571', '113.050866'
4517, '沙湾公园', '28.163977', '113.050943'
4518, '杜花路', '28.152466', '113.062923'
4519, '长沙火车南站', '28.15244', '113.071257'
4520, '光达', '28.153764', '113.091606'
4521, '光达', '28.153764', '113.091606'
